id,code,date,volumn,turnover,opening_price,high,low,closing_price,spread,transaction_number
1,0050,2003-06-30,9930000,367884760,37.1,37.4,36.92,37.08,0.12,2047
2,0050,2003-07-01,14290000,536078350,37.09,38.1,37.09,38.05,0.97,2223
3,0050,2003-07-02,16232000,625636880,38.17,38.82,38.1,38.69,0.64,1906
4,0050,2003-07-03,16839000,661217150,40.6,40.6,38.81,39,0.31,2230
5,0050,2003-07-04,12491000,487753800,39.1,39.26,38.75,39.26,0.26,1514
6,0050,2003-07-07,19461000,784967940,39.6,41,39.6,41,1.74,1978
7,0050,2003-07-08,13945000,575586450,42,42,40.7,41.19,0.19,2296
8,0050,2003-07-09,8849000,363763270,41.3,41.3,40.81,41.22,0.03,1198
9,0050,2003-07-10,8603000,348382480,41.2,41.2,40.05,40.05,-1.17,1491
10,0050,2003-07-11,7019000,277417400,39.6,39.97,39.3,39.91,-0.14,1404
11,0050,2003-07-14,10771000,436827930,39.95,41,39.92,40.66,0.75,1400
12,0050,2003-07-15,9432000,383346040,40.7,40.86,40.19,40.19,-0.47,1101
13,0050,2003-07-16,6798000,276893690,40.5,40.98,40.24,40.85,0.66,957
14,0050,2003-07-17,9924000,399015080,40.5,40.65,39.8,39.8,-1.05,1187
15,0050,2003-07-18,7220000,287078070,39.78,39.98,39.55,39.92,0.12,1032
16,0050,2003-07-21,6715000,267154330,40,40.25,39.4,39.4,-0.52,993
17,0050,2003-07-22,9169000,363490990,39.41,39.98,39.41,39.98,0.58,737
18,0050,2003-07-23,8148000,328372300,40.3,40.5,40,40.05,0.07,848
19,0050,2003-07-24,10984000,448189430,40.2,41.23,40.2,41.23,1.18,1279
20,0050,2003-07-25,8433000,346491330,41,41.34,40.85,41.23,0,931
21,0050,2003-07-28,6839000,285426040,41.9,41.94,41.57,41.58,0.35,966
22,0050,2003-07-29,5680000,233010990,41.54,41.54,40.83,41.02,-0.56,864
23,0050,2003-07-30,9300000,378924610,41,41.02,40.55,40.6,-0.42,869
24,0050,2003-07-31,5120000,208233880,40.66,41,40.44,40.87,0.27,965
25,0050,2003-08-01,3703000,153340310,41.28,41.6,41.05,41.6,0.73,844
26,0050,2003-08-04,3708000,153495550,41.47,41.55,41.21,41.4,-0.2,344
27,0050,2003-08-05,4929000,200981630,41.5,41.61,40.5,40.5,-0.9,659
28,0050,2003-08-06,4646000,186678450,40.2,40.3,40.06,40.23,-0.27,663
29,0050,2003-08-07,5574000,224384730,40.35,40.77,39.97,40.7,0.47,736
30,0050,2003-08-08,4009000,162440190,40.7,40.7,40.18,40.18,-0.52,492
31,0050,2003-08-11,2619000,104578500,39.9,40.18,39.68,40.1,-0.08,488
32,0050,2003-08-12,4255000,172402720,40.34,40.65,40.34,40.55,0.45,429
33,0050,2003-08-13,12452000,521544240,41,42.45,41,42.45,1.9,1640
34,0050,2003-08-14,11489000,486593840,42.29,42.55,42,42.3,-0.15,896
35,0050,2003-08-15,8705000,374241770,42.66,43.5,42.66,42.72,0.42,695
36,0050,2003-08-18,4295000,183577210,43,43.1,42.52,42.8,0.08,494
37,0050,2003-08-19,6286000,271811720,43.5,43.6,42.8,43,0.2,704
38,0050,2003-08-20,4201000,181073180,42.8,43.28,42.8,43.19,0.19,437
39,0050,2003-08-21,3518000,152951160,43.19,44,42.8,44,0.81,630
40,0050,2003-08-22,6243000,276105870,44,44.59,43.95,44.04,0.04,752
41,0050,2003-08-25,4937000,217636420,44.1,44.39,43.79,44.35,0.31,518
42,0050,2003-08-26,8544000,372327820,44.25,44.25,43.4,43.46,-0.89,871
43,0050,2003-08-27,6352000,277329490,43.28,43.97,43.28,43.62,0.16,659
44,0050,2003-08-28,4754000,207762210,43.63,43.95,43.49,43.56,-0.06,453
45,0050,2003-08-29,7666000,338875630,43.6,44.92,43.6,44.92,1.36,786
46,0050,2003-09-01,6283000,283499760,46.4,46.4,44.79,45.15,0.23,804
47,0050,2003-09-02,2163000,97711050,45.23,45.52,44.9,45.52,0.37,473
48,0050,2003-09-03,4321000,196259650,45.9,45.9,45,45,-0.52,693
49,0050,2003-09-04,3077000,137885310,45.1,45.1,44.51,44.51,-0.49,586
50,0050,2003-09-05,3894000,175161720,45,45.25,44.7,45.03,0.52,582
