id,code,name
1,1101,台泥
2,1102,亞泥
3,1103,嘉泥
4,1104,環泥
5,1108,幸福
6,1109,信大
7,1110,東泥
8,1201,味全
9,1203,味王
10,1210,大成
11,1213,大飲
12,1215,卜蜂
13,1216,統一
14,1217,愛之味
15,1218,泰山
16,1219,福壽
17,1220,台榮
18,1225,福懋油
19,1227,佳格
20,1229,聯華
21,1231,聯華食
22,1232,大統益
23,1233,天仁
24,1234,黑松
25,1235,興泰
26,1236,宏亞
27,1256,鮮活果汁-KY
28,1301,台塑
29,1303,南亞
30,1304,台聚
31,1305,華夏
32,1307,三芳
33,1308,亞聚
34,1309,台達化
35,1310,台苯
36,1312,國喬
37,1313,聯成
38,1314,中石化
39,1315,達新
40,1316,上曜
41,1319,東陽
42,1321,大洋
43,1323,永裕
44,1324,地球
45,1325,恆大
46,1326,台化
47,1337,再生-KY
48,1338,廣華-KY
49,1339,昭輝
50,1340,勝悅-KY
51,1341,富林-KY
52,1402,遠東新
53,1409,新纖
54,1410,南染
55,1413,宏洲
56,1414,東和
57,1416,廣豐
58,1417,嘉裕
59,1418,東華
60,1419,新紡
61,1423,利華
62,1432,大魯閣
63,1434,福懋
64,1435,中福
65,1436,華友聯
66,1437,勤益控
67,1438,裕豐
68,1439,中和
69,1440,南紡
70,1441,大東
71,1442,名軒
72,1443,立益
73,1444,力麗
74,1445,大宇
75,1446,宏和
76,1447,力鵬
77,1449,佳和
78,1451,年興
79,1452,宏益
80,1453,大將
81,1454,台富
82,1455,集盛
83,1456,怡華
84,1457,宜進
85,1459,聯發
86,1460,宏遠
87,1463,強盛
88,1464,得力
89,1465,偉全
90,1466,聚隆
91,1467,南緯
92,1468,昶和
93,1470,大統新創
94,1471,首利
95,1472,三洋紡
96,1473,台南
97,1474,弘裕
98,1475,本盟
99,1476,儒鴻
100,1477,聚陽
101,1503,士電
102,1504,東元
103,1506,正道
104,1507,永大
105,1512,瑞利
106,1513,中興電
107,1514,亞力
108,1515,力山
109,1516,川飛
110,1517,利奇
111,1519,華城
112,1521,大億
113,1522,堤維西
114,1524,耿鼎
115,1525,江申
116,1526,日馳
117,1527,鑽全
118,1528,恩德
119,1529,樂士
120,1530,亞崴
121,1531,高林股
122,1532,勤美
123,1533,車王電
124,1535,中宇
125,1536,和大
126,1537,廣隆
127,1538,正峰新
128,1539,巨庭
129,1540,喬福
130,1541,錩泰
131,1558,伸興
132,1560,中砂
133,1568,倉佑
134,1582,信錦
135,1583,程泰
136,1587,吉茂
137,1589,永冠-KY
138,1590,亞德客-KY
139,1592,英瑞-KY
140,1598,岱宇
141,1603,華電
142,1604,聲寶
143,1605,華新
144,1608,華榮
145,1609,大亞
146,1611,中電
147,1612,宏泰
148,1614,三洋電
149,1615,大山
150,1616,億泰
151,1617,榮星
152,1618,合機
153,1626,艾美特-KY
154,1701,中化
155,1702,南僑
156,1707,葡萄王
157,1708,東鹼
158,1709,和益
159,1710,東聯
160,1711,永光
161,1712,興農
162,1713,國化
163,1714,和桐
164,1717,長興
165,1718,中纖
166,1720,生達
167,1721,三晃
168,1722,台肥
169,1723,中碳
170,1724,台硝
171,1725,元禎
172,1726,永記
173,1727,中華化
174,1730,花仙子
175,1731,美吾華
176,1732,毛寶
177,1733,五鼎
178,1734,杏輝
179,1735,日勝化
180,1736,喬山
181,1737,臺鹽
182,1760,寶齡富錦
183,1762,中化生
184,1773,勝一
185,1776,展宇
186,1783,和康生
187,1786,科妍
188,1789,神隆
189,1802,台玻
190,1805,寶徠
191,1806,冠軍
192,1808,潤隆
193,1809,中釉
194,1810,和成
195,1817,凱撒衛
196,1902,台紙
197,1903,士紙
198,1904,正隆
199,1905,華紙
200,1906,寶隆
201,1907,永豐餘
202,1909,榮成
203,2002,中鋼
204,2006,東和鋼鐵
205,2007,燁興
206,2008,高興昌
207,2009,第一銅
208,2010,春源
209,2012,春雨
210,2013,中鋼構
211,2014,中鴻
212,2015,豐興
213,2017,官田鋼
214,2020,美亞
215,2022,聚亨
216,2023,燁輝
217,2024,志聯
218,2025,千興
219,2027,大成鋼
220,2028,威致
221,2029,盛餘
222,2030,彰源
223,2031,新光鋼
224,2032,新鋼
225,2033,佳大
226,2034,允強
227,2038,海光
228,2049,上銀
229,2059,川湖
230,2062,橋椿
231,2069,運錩
232,2101,南港
233,2102,泰豐
234,2103,台橡
235,2104,國際中橡
236,2105,正新
237,2106,建大
238,2107,厚生
239,2108,南帝
240,2109,華豐
241,2114,鑫永銓
242,2115,六暉-KY
243,2201,裕隆
244,2204,中華
245,2206,三陽工業
246,2207,和泰車
247,2208,台船
248,2227,裕日車
249,2228,劍麟
250,2231,為升
251,2233,宇隆
252,2236,百達-KY
253,2239,英利-KY
254,2243,宏旭-KY
255,2301,光寶科
256,2302,麗正
257,2303,聯電
258,2305,全友
259,2308,台達電
260,2312,金寶
261,2313,華通
262,2314,台揚
263,2316,楠梓電
264,2317,鴻海
265,2321,東訊
266,2323,中環
267,2324,仁寶
268,2327,國巨
269,2328,廣宇
270,2329,華泰
271,2330,台積電
272,2331,精英
273,2332,友訊
274,2337,旺宏
275,2338,光罩
276,2340,光磊
277,2342,茂矽
278,2344,華邦電
279,2345,智邦
280,2347,聯強
281,2348,海悅
282,2349,錸德
283,2351,順德
284,2352,佳世達
285,2353,宏碁
286,2354,鴻準
287,2355,敬鵬
288,2356,英業達
289,2357,華碩
290,2358,廷鑫
291,2359,所羅門
292,2360,致茂
293,2362,藍天
294,2363,矽統
295,2364,倫飛
296,2365,昆盈
297,2367,燿華
298,2368,金像電
299,2369,菱生
300,2371,大同
301,2373,震旦行
302,2374,佳能
303,2375,智寶
304,2376,技嘉
305,2377,微星
306,2379,瑞昱
307,2380,虹光
308,2382,廣達
309,2383,台光電
310,2385,群光
311,2387,精元
312,2388,威盛
313,2390,云辰
314,2392,正崴
315,2393,億光
316,2395,研華
317,2397,友通
318,2399,映泰
319,2401,凌陽
320,2402,毅嘉
321,2404,漢唐
322,2405,浩鑫
323,2406,國碩
324,2408,南亞科
325,2409,友達
326,2412,中華電
327,2413,環科
328,2414,精技
329,2415,錩新
330,2417,圓剛
331,2419,仲琦
332,2420,新巨
333,2421,建準
334,2423,固緯
335,2424,隴華
336,2425,承啟
337,2426,鼎元
338,2427,三商電
339,2428,興勤
340,2429,銘旺科
341,2430,燦坤
342,2431,聯昌
343,2433,互盛電
344,2434,統懋
345,2436,偉詮電
346,2438,翔耀
347,2439,美律
348,2440,太空梭
349,2441,超豐
350,2442,新美齊
351,2443,新利虹
352,2444,兆勁
353,2448,晶電
354,2449,京元電子
355,2450,神腦
356,2451,創見
357,2453,凌群
358,2454,聯發科
359,2455,全新
360,2456,奇力新
361,2457,飛宏
362,2458,義隆
363,2459,敦吉
364,2460,建通
365,2461,光群雷
366,2462,良得電
367,2464,盟立
368,2465,麗臺
369,2466,冠西電
370,2467,志聖
371,2468,華經
372,2471,資通
373,2472,立隆電
374,2474,可成
375,2476,鉅祥
376,2477,美隆電
377,2478,大毅
378,2480,敦陽科
379,2481,強茂
380,2482,連宇
381,2483,百容
382,2484,希華
383,2485,兆赫
384,2486,一詮
385,2488,漢平
386,2489,瑞軒
387,2491,吉祥全
388,2492,華新科
389,2493,揚博
390,2495,普安
391,2496,卓越
392,2497,怡利電
393,2498,宏達電
394,2499,東貝
395,2501,國建
396,2504,國產
397,2505,國揚
398,2506,太設
399,2509,全坤建
400,2511,太子
401,2514,龍邦
402,2515,中工
403,2516,新建
404,2520,冠德
405,2524,京城
406,2527,宏璟
407,2528,皇普
408,2530,華建
409,2534,宏盛
410,2535,達欣工
411,2536,宏普
412,2537,聯上發
413,2538,基泰
414,2539,櫻花建
415,2540,愛山林
416,2542,興富發
417,2543,皇昌
418,2545,皇翔
419,2546,根基
420,2547,日勝生
421,2548,華固
422,2597,潤弘
423,2601,益航
424,2603,長榮
425,2605,新興
426,2606,裕民
427,2607,榮運
428,2608,嘉里大榮
429,2609,陽明
430,2610,華航
431,2611,志信
432,2612,中航
433,2613,中櫃
434,2614,東森
435,2615,萬海
436,2616,山隆
437,2617,台航
438,2618,長榮航
439,2630,亞航
440,2633,台灣高鐵
441,2634,漢翔
442,2636,台驊投控
443,2637,慧洋-KY
444,2642,宅配通
445,2701,萬企
446,2702,華園
447,2704,國賓
448,2705,六福
449,2706,第一店
450,2707,晶華
451,2712,遠雄來
452,2722,夏都
453,2723,美食-KY
454,2727,王品
455,2731,雄獅
456,2739,寒舍
457,2748,雲品
