日期,成交股數,成交金額,成交筆數,開盤價,最高價,最低價,收盤價,漲跌價差,收盤價MA5,收盤價MA10,收盤價MA20,收盤價MA60,收盤價MA120,收盤價MA240,成交股數MA5,成交股數MA10,成交股數MA20,成交股數MA60,成交股數MA120,成交股數MA240,成交金額MA5,成交金額MA10,成交金額MA20,成交金額MA60,成交金額MA120,成交金額MA240,成交股數.1,開盤價.1,最高價.1,最低價.1,收盤價.1,漲跌價差.1,燦坤/台灣50,1,2,3,4,5,6,7,8,9,10,11,12,當前資產部位
2003/6/30,9930000,367884760,2047,37.1,37.4,36.92,37.08,0.12,,,,,,,,,,,,,,,,,,,9930000,37.1,37.4,36.92,37.08,0.12,,0,0,0,0,0,1,0,0,0,0,0,0,0
2003/7/1,14290000,536078350,2223,37.09,38.1,37.09,38.05,0.97,,,,,,,,,,,,,,,,,,,14290000,37.09,38.1,37.09,38.05,0.97,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/2,16232000,625636880,1906,38.17,38.82,38.1,38.69,0.64,,,,,,,,,,,,,,,,,,,16232000,38.17,38.82,38.1,38.69,0.64,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/3,16839000,661217150,2230,40.6,40.6,38.81,39,0.31,,,,,,,,,,,,,,,,,,,16839000,40.6,40.6,38.81,39,0.31,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/4,12491000,487753800,1514,39.1,39.26,38.75,39.26,0.26,38.416,,,,,,13956400,,,,,,535714188,,,,,,12491000,39.1,39.26,38.75,39.26,0.26,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/7,19461000,784967940,1978,39.6,41,39.6,41,1.74,39.2,,,,,,15862600,,,,,,619130824,,,,,,19461000,39.6,41,39.6,41,1.74,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/8,13945000,575586450,2296,42,42,40.7,41.19,0.19,39.828,,,,,,15793600,,,,,,627032444,,,,,,13945000,42,42,40.7,41.19,0.19,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/9,8849000,363763270,1198,41.3,41.3,40.81,41.22,0.03,40.334,,,,,,14317000,,,,,,574657722,,,,,,8849000,41.3,41.3,40.81,41.22,0.03,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/10,8603000,348382480,1491,41.2,41.2,40.05,40.05,-1.17,40.544,,,,,,12669800,,,,,,512090788,,,,,,8603000,41.2,41.2,40.05,40.05,-1.17,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/11,7019000,277417400,1404,39.6,39.97,39.3,39.91,-0.14,40.674,39.545,,,,,11575400,12765900,,,,,470023508,502868848,,,,,7019000,39.6,39.97,39.3,39.91,-0.14,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/14,10771000,436827930,1400,39.95,41,39.92,40.66,0.75,40.606,39.903,,,,,9837400,12850000,,,,,400395506,509763165,,,,,10771000,39.95,41,39.92,40.66,0.75,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/15,9432000,383346040,1101,40.7,40.86,40.19,40.19,-0.47,40.406,40.117,,,,,8934800,12364200,,,,,361947424,494489934,,,,,9432000,40.7,40.86,40.19,40.19,-0.47,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/16,6798000,276893690,957,40.5,40.98,40.24,40.85,0.66,40.332,40.333,,,,,8524600,11420800,,,,,344573508,459615615,,,,,6798000,40.5,40.98,40.24,40.85,0.66,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/17,9924000,399015080,1187,40.5,40.65,39.8,39.8,-1.05,40.282,40.413,,,,,8788800,10729300,,,,,354700028,433395408,,,,,9924000,40.5,40.65,39.8,39.8,-1.05,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/18,7220000,287078070,1032,39.78,39.98,39.55,39.92,0.12,40.284,40.479,,,,,8829000,10202200,,,,,356632162,413327835,,,,,7220000,39.78,39.98,39.55,39.92,0.12,,0,0,0,0,0,0,1,0,0,0,0,0,0
2003/7/21,6715000,267154330,993,40,40.25,39.4,39.4,-0.52,40.032,40.319,,,,,8017800,8927600,,,,,322697442,361546474,,,,,6715000,40,40.25,39.4,39.4,-0.52,,0,0,0,0,0,0,1,0,0,0,0,0,0
