id,code
1,0050 元大台灣50
2,0051 元大中型100
3,0052 富邦科技
4,0053 元大電子
5,0054 元大台商50
6,0055 元大MSCI金融
7,0056 元大高股息
8,0057 富邦摩台
9,0058 富邦發達
10,0059 富邦金融
11,0061 元大寶滬深
12,006203 元大MSCI台灣
13,006204 永豐臺灣加權
14,006205 富邦上証
15,006206 元大上證50
16,006207 FH滬深
17,006208 富邦台50
18,00631L 元大台灣50正2
19,00632R 元大台灣50反1
20,00633L 富邦上証正2
21,00634R 富邦上証反1
22,00635U 元大S&P 黃金
23,00636 國泰中國A50
24,00637L 元大滬深300 正2
25,00638R 元大滬深300 反1
26,00639 富邦深100
27,00640L 富邦日本正2
28,00641R 富邦日本反1
29,00642U 元大S&P 石油
30,00643 群益深証中小
31,00645 富邦日本
32,00646 元大S&P500
33,00647L 元大S&P500正2
34,00648R 元大S&P500反1
35,008201 BP上證50
36,1101 台泥
37,1102 亞泥
38,1103 嘉泥
39,1104 環泥
40,1108 幸福
41,1109 信大
42,1110 東泥
43,1201 味全
44,1203 味王
45,1210 大成
46,1213 大飲
47,1215 卜蜂
48,1216 統一
49,1217 愛之味
50,1218 泰山
51,1219 福壽
52,1220 台榮
53,1225 福懋油
54,1227 佳格
55,1229 聯華投控
56,1231 聯華食
57,1232 大統益
58,1233 天仁
59,1234 黑松
60,1235 興泰
61,1236 宏亞
62,1256 鮮活果汁-KY
63,1301 台塑
64,1303 南亞
65,1304 台聚
66,1305 華夏
67,1307 三芳
68,1308 亞聚
69,1309 台達化
70,1310 台苯
71,1312 國喬
72,1313 聯成
73,1314 中石化
74,1315 達新
75,1316 上曜
76,1319 東陽
77,1321 大洋
78,1323 永裕
79,1324 地球
80,1325 恒大
81,1326 台化
82,1337 再生-KY
83,1338 廣華-KY
84,1339 昭輝
85,1340 勝悅-KY
86,1402 遠東新
87,1409 新纖
88,1410 南染
89,1413 宏洲
90,1414 東和
91,1416 廣豐
92,1417 嘉裕
93,1418 東華
94,1419 新紡
95,1423 利華
96,1432 大魯閣
97,1434 福懋
98,1435 中福
99,1436 華友聯
100,1437 勤益控
101,1438 裕豐
102,1439 中和
103,1440 南紡
104,1441 大東
105,1442 名軒
106,1443 立益
107,1444 力麗
108,1445 大宇
109,1446 宏和
110,1447 力鵬
111,1449 佳和
112,1451 年興
113,1452 宏益
114,1453 大將
115,1454 台富
116,1455 集盛
117,1456 怡華
118,1457 宜進
119,1459 聯發
120,1460 宏遠
121,1463 強盛
122,1464 得力
123,1465 偉全
124,1466 聚隆
125,1467 南緯
126,1468 昶和
127,1470 大統新創
128,1471 首利
129,1472 三洋紡
130,1473 台南
131,1474 弘裕
132,1475 本盟
133,1476 儒鴻
134,1477 聚陽
135,1503 士電
136,1504 東元
137,1506 正道
138,1507 永大
139,1512 瑞利
140,1513 中興電
141,1514 亞力
142,1515 力山
143,1516 川飛
144,1517 利奇
145,1519 華城
146,1521 大億
147,1522 堤維西
148,1524 耿鼎
149,1525 江申
150,1526 日馳
151,1527 鑽全
152,1528 恩德
153,1529 樂士
154,1530 亞崴
155,1531 高林股
156,1532 勤美
157,1533 車王電
158,1535 中宇
159,1536 和大
160,1537 廣隆
161,1538 正峰新
162,1539 巨庭
163,1540 喬福
164,1541 錩泰
165,1558 伸興
166,1560 中砂
167,1568 倉佑
168,1582 信錦
169,1583 程泰
170,1589 永冠-KY
171,1590 亞德客-KY
172,1592 英瑞-KY
173,1603 華電
174,1604 聲寶
175,1605 華新
176,1608 華榮
177,1609 大亞
178,1611 中電
179,1612 宏泰
180,1614 三洋電
181,1615 大山
182,1616 億泰
183,1617 榮星
184,1618 合機
185,1626 艾美特-KY
186,1701 中化
187,1702 南僑
188,1707 葡萄王
189,1708 東鹼
190,1709 和益
191,1710 東聯
192,1711 永光
193,1712 興農
194,1713 國化
195,1714 和桐
196,1717 長興
197,1718 中纖
198,1720 生達
199,1721 三晃
200,1722 台肥
201,1723 中碳
202,1724 台硝
203,1725 元禎
204,1726 永記
205,1727 中華化
206,1730 花仙子
207,1731 美吾華
208,1732 毛寶
209,1733 五鼎
210,1734 杏輝
211,1735 日勝化
212,1736 喬山
213,1737 臺鹽
214,1762 中化生
215,1773 勝一
216,1783 和康生
217,1786 科妍
218,1789 神隆
219,1802 台玻
220,1805 寶徠
221,1806 冠軍
222,1808 潤隆
223,1809 中釉
224,1810 和成
225,1817 凱撒衛
226,1902 台紙
227,1903 士紙
228,1904 正隆
229,1905 華紙
230,1906 寶隆
231,1907 永豐餘
232,1909 榮成
233,2002 中鋼
234,2006 東和鋼鐵
235,2007 燁興
236,2008 高興昌
237,2009 第一銅
238,2010 春源
239,2012 春雨
240,2013 中鋼構
241,2014 中鴻
242,2015 豐興
243,2017 官田鋼
244,2020 美亞
245,2022 聚亨
246,2023 燁輝
247,2024 志聯
248,2025 千興
249,2027 大成鋼
250,2028 威致
251,2029 盛餘
252,2030 彰源
253,2031 新光鋼
254,2032 新鋼
255,2033 佳大
256,2034 允強
257,2038 海光
258,2049 上銀
259,2059 川湖
260,2062 橋椿
261,2101 南港
262,2102 泰豐
263,2103 台橡
264,2104 國際中橡
265,2105 正新
266,2106 建大
267,2107 厚生
268,2108 南帝
269,2109 華豐
270,2114 鑫永銓
271,2115 六暉-KY
272,2201 裕隆
273,2204 中華
274,2206 三陽工業
275,2207 和泰車
276,2208 台船
277,2227 裕日車
278,2228 劍麟
279,2231 為升
280,2233 宇隆
281,2236 百達-KY
282,2301 光寶科
283,2302 麗正
284,2303 聯電
285,2305 全友
286,2308 台達電
287,2312 金寶
288,2313 華通
289,2314 台揚
290,2316 楠梓電
291,2317 鴻海
292,2321 東訊
293,2323 中環
294,2324 仁寶
295,2327 國巨
296,2328 廣宇
297,2329 華泰
298,2330 台積電
299,2331 精英
300,2332 友訊
301,2337 旺宏
302,2338 光罩
303,2340 光磊
304,2342 茂矽
305,2344 華邦電
306,2345 智邦
307,2347 聯強
308,2348 海悅
309,2349 錸德
310,2351 順德
311,2352 佳世達
312,2353 宏碁
313,2354 鴻準
314,2355 敬鵬
315,2356 英業達
316,2357 華碩
317,2358 廷鑫
318,2359 所羅門
319,2360 致茂
320,2362 藍天
321,2363 矽統
322,2364 倫飛
323,2365 昆盈
324,2367 燿華
325,2368 金像電
326,2369 菱生
327,2371 大同
328,2373 震旦行
329,2374 佳能
330,2375 凱美
331,2376 技嘉
332,2377 微星
333,2379 瑞昱
334,2380 虹光
335,2382 廣達
336,2383 台光電
337,2385 群光
338,2387 精元
339,2388 威盛
340,2390 云辰
341,2392 正崴
342,2393 億光
343,2395 研華
344,2397 友通
345,2399 映泰
346,2401 凌陽
347,2402 毅嘉
348,2404 漢唐
349,2405 浩鑫
350,2406 國碩
351,2408 南亞科
352,2409 友達
353,2412 中華電
354,2413 環科
355,2414 精技
356,2415 錩新
357,2417 圓剛
358,2419 仲琦
359,2420 新巨
360,2421 建準
361,2423 固緯
362,2424 隴華
363,2425 承啟
364,2426 鼎元
365,2427 三商電
366,2428 興勤
367,2429 銘旺科
368,2430 燦坤
369,2431 聯昌
370,2433 互盛電
371,2434 統懋
372,2436 偉詮電
373,2438 翔耀
374,2439 美律
375,2440 太空梭
376,2441 超豐
377,2442 新美齊
378,2443 億麗
379,2444 兆勁
380,2448 晶電
381,2449 京元電子
382,2450 神腦
383,2451 創見
384,2453 凌群
385,2454 聯發科
386,2455 全新
387,2456 奇力新
388,2457 飛宏
389,2458 義隆
390,2459 敦吉
391,2460 建通
392,2461 光群雷
393,2462 良得電
394,2464 盟立
395,2465 麗臺
396,2466 冠西電
397,2467 志聖
398,2468 華經
399,2471 資通
400,2472 立隆電
401,2474 可成
402,2476 鉅祥
403,2477 美隆電
404,2478 大毅
405,2480 敦陽科
406,2481 強茂
407,2482 連宇
408,2483 百容
409,2484 希華
410,2485 兆赫
411,2486 一詮
412,2488 漢平
413,2489 瑞軒
414,2491 吉祥全
415,2492 華新科
416,2493 揚博
417,2495 普安
418,2496 卓越
419,2497 怡利電
420,2498 宏達電
421,2499 東貝
422,2501 國建
423,2504 國產
424,2505 國揚
425,2506 太設
426,2509 全坤建
427,2511 太子
428,2514 龍邦
429,2515 中工
430,2516 新建
431,2520 冠德
432,2524 京城
433,2527 宏璟
434,2528 皇普
435,2530 華建
436,2534 宏盛
437,2535 達欣工
438,2536 宏普
439,2537 聯上發
440,2538 基泰
441,2539 櫻花建
442,2540 愛山林
443,2542 興富發
444,2543 皇昌
445,2545 皇翔
446,2546 根基
447,2547 日勝生
448,2548 華固
449,2597 潤弘
450,2601 益航
451,2603 長榮
452,2605 新興
453,2606 裕民
454,2607 榮運
455,2608 嘉里大榮
456,2609 陽明
457,2610 華航
458,2611 志信
459,2612 中航
460,2613 中櫃
461,2614 東森
462,2615 萬海
463,2616 山隆
464,2617 台航
465,2618 長榮航
466,2634 漢翔
467,2636 台驊投控
468,2637 慧洋-KY
469,2642 宅配通
470,2701 萬企
471,2702 華園
472,2704 國賓
473,2705 六福
474,2706 第一店
475,2707 晶華
476,2712 遠雄來
477,2722 夏都
478,2723 美食-KY
479,2727 王品
480,2731 雄獅
481,2801 彰銀
482,2809 京城銀
483,2812 台中銀
484,2816 旺旺保
485,2820 華票
486,2823 中壽
487,2832 台產
488,2834 臺企銀
489,2836 高雄銀
490,2838 聯邦銀
491,2841 台開
492,2845 遠東銀
493,2849 安泰銀
494,2850 新產
495,2851 中再保
496,2852 第一保
497,2855 統一證
498,2867 三商壽
499,2880 華南金
500,2881 富邦金
501,2882 國泰金
502,2883 開發金
503,2884 玉山金
504,2885 元大金
505,2886 兆豐金
506,2887 台新金
507,2888 新光金
508,2889 國票金
509,2890 永豐金
510,2891 中信金
511,2892 第一金
512,2901 欣欣
513,2903 遠百
514,2904 匯僑
515,2905 三商
516,2906 高林
517,2908 特力
518,2910 統領
519,2911 麗嬰房
520,2912 統一超
521,2913 農林
522,2915 潤泰全
523,2923 鼎固-KY
524,2929 淘帝-KY
525,3002 歐格
526,3003 健和興
527,3004 豐達科
528,3005 神基
529,3006 晶豪科
530,3008 大立光
531,3010 華立
532,3011 今皓
533,3013 晟銘電
534,3014 聯陽
535,3015 全漢
536,3016 嘉晶
537,3017 奇鋐
538,3018 同開
539,3019 亞光
540,3021 鴻名
541,3022 威強電
542,3023 信邦
543,3024 憶聲
544,3025 星通
545,3026 禾伸堂
546,3027 盛達
547,3028 增你強
548,3029 零壹
549,3030 德律
550,3031 佰鴻
551,3032 偉訓
552,3033 威健
553,3034 聯詠
554,3035 智原
555,3036 文曄
556,3037 欣興
557,3038 全台
558,3040 遠見
559,3041 揚智
560,3042 晶技
561,3043 科風
562,3044 健鼎
563,3045 台灣大
564,3046 建碁
565,3047 訊舟
566,3048 益登
567,3049 和鑫
568,3050 鈺德
569,3051 力特
570,3052 夆典
571,3054 立萬利
572,3055 蔚華科
573,3056 總太
574,3057 喬鼎
575,3058 立德
576,3059 華晶科
577,3060 銘異
578,3062 建漢
579,3090 日電貿
580,3094 聯傑
581,3130 一零四
582,3149 正達
583,3164 景岳
584,3167 大量
585,3189 景碩
586,3209 全科
587,3229 晟鈦
588,3231 緯創
589,3257 虹冠電
590,3266 昇陽
591,3296 勝德
592,3305 昇貿
593,3308 聯德
594,3311 閎暉
595,3312 弘憶股
596,3321 同泰
597,3338 泰碩
598,3356 奇偶
599,3376 新日興
600,3380 明泰
601,3383 新世紀
602,3406 玉晶光
603,3413 京鼎
604,3416 融程電
605,3419 譁裕
606,3432 台端
607,3437 榮創
608,3443 創意
609,3450 聯鈞
610,3454 晶睿
611,3481 群創
612,3494 誠研
613,3501 維熹
614,3504 揚明光
615,3515 華擎
616,3518 柏騰
617,3528 安馳
618,3532 台勝科
619,3533 嘉澤
620,3535 晶彩科
621,3536 誠創
622,3545 敦泰
623,3550 聯穎
624,3557 嘉威
625,3563 牧德
626,3576 聯合再生
627,3583 辛耘
628,3588 通嘉
629,3591 艾笛森
630,3593 力銘
631,3596 智易
632,3605 宏致
633,3607 谷崧
634,3617 碩天
635,3622 洋華
636,3645 達邁
637,3653 健策
638,3661 世芯-KY
639,3665 貿聯-KY
640,3669 圓展
641,3673 TPK-KY
642,3679 新至陞
643,3682 亞太電
644,3686 達能
645,3694 海華
646,3698 隆達
647,3701 大眾控
648,3702 大聯大
649,3703 欣陸
650,3704 合勤控
651,3705 永信
652,3706 神達
653,4104 佳醫
654,4106 雃博
655,4108 懷特
656,4119 旭富
657,4133 亞諾法
658,4137 麗豐-KY
659,4141 龍燈-KY
660,4142 國光生
661,4144 康聯-KY
662,4164 承業醫
663,4190 佐登-KY
664,4306 炎洲
665,4414 如興
666,4426 利勤
667,4526 東台
668,4532 瑞智
669,4536 拓凱
670,4551 智伸科
671,4555 氣立
672,4557 永新-KY
673,4720 德淵
674,4722 國精化
675,4725 信昌化
676,4737 華廣
677,4739 康普
678,4746 台耀
679,4755 三福化
680,4763 材料-KY
681,4904 遠傳
682,4906 正文
683,4912 聯德控股-KY
684,4915 致伸
685,4916 事欣科
686,4919 新唐
687,4927 泰鼎-KY
688,4930 燦星網
689,4934 太極
690,4935 茂林-KY
691,4938 和碩
692,4942 嘉彰
693,4952 凌通
694,4956 光鋐
695,4958 臻鼎-KY
696,4960 誠美材
697,4968 立積
698,4976 佳凌
699,4977 眾達-KY
700,4994 傳奇
701,4999 鑫禾
702,5007 三星
703,5203 訊連
704,5215 科嘉-KY
705,5225 東科-KY
706,5234 達興材料
707,5243 乙盛-KY
708,5259 奕智博
709,5264 鎧勝-KY
710,5269 祥碩
711,5284 jpp-KY
712,5285 界霖
713,5288 豐祥-KY
714,5305 敦南
715,5388 中磊
716,5434 崇越
717,5469 瀚宇博
718,5471 松翰
719,5484 慧友
720,5515 建國
721,5519 隆大
722,5521 工信
723,5522 遠雄
724,5525 順天
725,5531 鄉林
726,5533 皇鼎
727,5534 長虹
728,5538 東明-KY
729,5607 遠雄港
730,5608 四維航
731,5706 鳳凰
732,5871 中租-KY
733,5880 合庫金
734,5906 台南-KY
735,5907 大洋-KY
736,6005 群益證
737,6024 群益期
738,6108 競國
739,6112 聚碩
740,6115 鎰勝
741,6116 彩晶
742,6117 迎廣
743,6120 達運
744,6128 上福
745,6131 鈞泰
746,6133 金橋
747,6136 富爾特
748,6139 亞翔
749,6141 柏承
750,6142 友勁
751,6152 百一
752,6153 嘉聯益
753,6155 鈞寶
754,6164 華興
755,6165 捷泰
756,6166 凌華
757,6168 宏齊
758,6172 互億
759,6176 瑞儀
760,6177 達麗
761,6183 關貿
762,6184 大豐電
763,6189 豐藝
764,6191 精成科
765,6192 巨路
766,6196 帆宣
767,6197 佳必琪
768,6201 亞弘電
769,6202 盛群
770,6205 詮欣
771,6206 飛捷
772,6209 今國光
773,6213 聯茂
774,6214 精誠
775,6215 和椿
776,6216 居易
777,6224 聚鼎
778,6225 天瀚
779,6226 光鼎
780,6230 超眾
781,6235 華孚
782,6239 力成
783,6243 迅杰
784,6251 定穎
785,6257 矽格
786,6269 台郡
787,6271 同欣電
788,6277 宏正
789,6278 台表科
790,6281 全國電
791,6282 康舒
792,6283 淳安
793,6285 啟碁
794,6289 華上
795,6405 悅城
796,6409 旭隼
797,6412 群電
798,6414 樺漢
799,6415 矽力-KY
800,6431 光麗-KY
801,6442 光聖
802,6443 元晶
803,6449 鈺邦
804,6451 訊芯-KY
805,6452 康友-KY
806,6456 GIS-KY
807,6464 台數科
808,6504 南六
809,6505 台塑化
810,6605 帝寶
811,8011 台通
812,8016 矽創
813,8021 尖點
814,8033 雷虎
815,8039 台虹
816,8046 南電
817,8070 長華
818,8072 陞泰
819,8081 致新
820,8101 華冠
821,8103 瀚荃
822,8105 凌巨
823,8110 華東
824,8112 至上
825,8114 振樺電
826,8131 福懋科
827,8150 南茂
828,8163 達方
829,8201 無敵
830,8210 勤誠
831,8213 志超
832,8215 明基材
833,8222 寶一
834,8249 菱光
835,8261 富鼎
836,8271 宇瞻
837,8341 日友
838,8374 羅昇
839,8404 百和興業-KY
840,8411 福貞-KY
841,8422 可寧衛
842,8427 基勝-KY
843,8429 金麗-KY
844,8443 阿瘦
845,8454 富邦媒
846,8463 潤泰材
847,8464 億豐
848,8467 波力-KY
849,8926 台汽電
850,8940 新天地
851,8996 高力
852,9103 美德醫療-DR
853,910322 康師傅-DR
854,910482 聖馬丁-DR
855,9105 泰金寶-DR
856,910861 神州-DR
857,9110 越南控-DR
858,911608 明輝-DR
859,911616 杜康-DR
860,911622 泰聚亨-DR
861,911868 同方友友-DR
862,912000 晨訊科-DR
863,912398 友佳-DR
864,9136 巨騰-DR
865,9188 精熙-DR
866,9802 鈺齊-KY
867,9902 台火
868,9904 寶成
869,9905 大華
870,9906 欣巴巴
871,9907 統一實
872,9908 大台北
873,9910 豐泰
874,9911 櫻花
875,9912 偉聯
876,9914 美利達
877,9917 中保
878,9918 欣天然
879,9919 康那香
880,9921 巨大
881,9924 福興
882,9925 新保
883,9926 新海
884,9927 泰銘
885,9928 中視
886,9929 秋雨
887,9930 中聯資源
888,9931 欣高
889,9933 中鼎
890,9934 成霖
891,9935 慶豐富
892,9937 全國
893,9938 百和
894,9939 宏全
895,9940 信義
896,9941 裕融
897,9942 茂順
898,9943 好樂迪
899,9944 新麗
900,9945 潤泰新
901,9946 三發地產
902,9955 佳龍
903,9958 世紀鋼
